5 91 92 113,712 931530 0.010170231950102498 0 82345 false
5 92 93 113,713 931494 0.0141063324018805 0 82346 false
5 93 94 113,708 931524 0.014142584934682076 0 82342 false
5 94 95 113,711 931524 0.013222215179832263 0 82344 false
5 95 96 113,712 931524 0.012359410466898268 0 82345 false
5 96 97 113,712 931522 0.01424259374287487 0 82345 false
5 97 98 113,709 931521 0.013083427926400482 0 82343 false
5 98 99 113,715 931517 0.013806287204141508 0 82347 false
5 100 101 113,713 931518 0.013838666806138619 0 82346 false
5 101 102 113,713 931561 0.012295104283686556 0 82346 false
5 102 103 113,711 931491 0.012421508943841145 0 82344 false
5 103 104 113,711 931539 0.011825064846874015 0 82344 false
5 104 105 113,709 931506 0.012542767913623498 0 82343 false
5 105 106 113,716 931522 0.014464593441230855 0 82348 false
5 106 107 113,672 931241 0.011888647218771338 0 82316 false
5 107 108 113,713 931537 0.013157900485335206 0 82346 false
5 108 109 113,711 931498 0.013381313255235356 0 82344 false
5 109 110 113,712 931519 0.012619091179533885 0 82345 false
5 110 111 113,705 931495 0.014386105659093061 0 82340 false
5 111 112 113,713 931524 0.01436920069370894 0 82346 false
5 112 113 113,712 931523 0.013508651180587531 0 82345 false
5 113 114 113,713 931524 0.01346621221132378 0 82346 false
5 114 115 113,708 931517 0.01391163270626358 0 82342 false
5 115 116 113,713 931556 0.012184831285197397 0 82346 false
5 116 117 113,711 931485 0.012536890617906657 0 82344 false
5 117 118 113,647 931028 0.012616167097184439 0 82298 false
5 118 119 113,709 931484 0.013888438194335516 0 82343 false
5 119 120 113,702 931468 0.011862226825165767 0 82338 false
5 120 120 2,80051 927574 0.012321260010240559 0 2028 false
